question,gold_doc,gold_pages,hit_strict@1,hit_strict@3,hit_strict@5,hit_soft@1,hit_soft@3,hit_soft@5,retrieved_topk
进程的定义是什么？,os_tutorial,[64],1,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 2, ""score"": 0.766751766204834}, {""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.7389352917671204}, {""doc_id"": ""os_tutorial"", ""page"": 60, ""chunk_id"": 0, ""score"": 0.7108248472213745}, {""doc_id"": ""os_tutorial"", ""page"": 131, ""chunk_id"": 2, ""score"": 0.7095708847045898}, {""doc_id"": ""os_tutorial"", ""page"": 43, ""chunk_id"": 1, ""score"": 0.6958346962928772}]"
进程有哪些基本状态？,os_tutorial,[65],1,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 65, ""chunk_id"": 3, ""score"": 0.785703182220459}, {""doc_id"": ""os_tutorial"", ""page"": 65, ""chunk_id"": 1, ""score"": 0.7788511514663696}, {""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 3, ""score"": 0.7217692732810974}, {""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.7056482434272766}, {""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 2, ""score"": 0.6883373856544495}]"
进程控制块 PCB的作用是什么？,os_tutorial,[64],0,0,0,0,0,0,"[{""doc_id"": ""os_tutorial"", ""page"": 70, ""chunk_id"": 2, ""score"": 0.7623863816261292}, {""doc_id"": ""os_tutorial"", ""page"": 69, ""chunk_id"": 1, ""score"": 0.7474390268325806}, {""doc_id"": ""os_tutorial"", ""page"": 70, ""chunk_id"": 0, ""score"": 0.7386630773544312}, {""doc_id"": ""os_tutorial"", ""page"": 84, ""chunk_id"": 2, ""score"": 0.7335447669029236}, {""doc_id"": ""os_tutorial"", ""page"": 66, ""chunk_id"": 0, ""score"": 0.7325422763824463}]"
进程控制包括哪些基本操作？,os_tutorial,[43],0,0,1,0,0,1,"[{""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.7634515762329102}, {""doc_id"": ""os_tutorial"", ""page"": 60, ""chunk_id"": 0, ""score"": 0.7156985402107239}, {""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 2, ""score"": 0.7144667506217957}, {""doc_id"": ""os_tutorial"", ""page"": 43, ""chunk_id"": 0, ""score"": 0.7135332822799683}, {""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 2, ""score"": 0.7104485034942627}]"
进程间通信的主要方式有哪些？,os_tutorial,[76],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 80, ""chunk_id"": 0, ""score"": 0.7747178077697754}, {""doc_id"": ""os_tutorial"", ""page"": 81, ""chunk_id"": 1, ""score"": 0.7692329287528992}, {""doc_id"": ""os_tutorial"", ""page"": 76, ""chunk_id"": 3, ""score"": 0.7643351554870605}, {""doc_id"": ""os_tutorial"", ""page"": 43, ""chunk_id"": 1, ""score"": 0.7639763951301575}, {""doc_id"": ""os_tutorial"", ""page"": 342, ""chunk_id"": 2, ""score"": 0.7543078660964966}]"
什么是系统调用？,os_tutorial,[55],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 250, ""chunk_id"": 0, ""score"": 0.7258117198944092}, {""doc_id"": ""os_tutorial"", ""page"": 55, ""chunk_id"": 0, ""score"": 0.7085576057434082}, {""doc_id"": ""os_tutorial"", ""page"": 55, ""chunk_id"": 1, ""score"": 0.6934326887130737}, {""doc_id"": ""os_tutorial"", ""page"": 57, ""chunk_id"": 0, ""score"": 0.6702558994293213}, {""doc_id"": ""os_tutorial"", ""page"": 47, ""chunk_id"": 1, ""score"": 0.6681922674179077}]"
多线程模型有哪些？,os_tutorial,[89],1,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 89, ""chunk_id"": 2, ""score"": 0.6761733293533325}, {""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 3, ""score"": 0.6483889818191528}, {""doc_id"": ""os_tutorial"", ""page"": 87, ""chunk_id"": 3, ""score"": 0.6272644996643066}, {""doc_id"": ""os_tutorial"", ""page"": 86, ""chunk_id"": 2, ""score"": 0.6257296800613403}, {""doc_id"": ""os_tutorial"", ""page"": 87, ""chunk_id"": 0, ""score"": 0.6029566526412964}]"
多级页表的基本思想是什么？,os_tutorial,"[179, 180]",0,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 181, ""chunk_id"": 1, ""score"": 0.627591609954834}, {""doc_id"": ""os_tutorial"", ""page"": 180, ""chunk_id"": 1, ""score"": 0.6203739643096924}, {""doc_id"": ""os_tutorial"", ""page"": 177, ""chunk_id"": 2, ""score"": 0.6179776191711426}, {""doc_id"": ""os_tutorial"", ""page"": 181, ""chunk_id"": 2, ""score"": 0.5965293645858765}, {""doc_id"": ""os_tutorial"", ""page"": 177, ""chunk_id"": 1, ""score"": 0.5877572298049927}]"
什么是FCB？,os_tutorial,[281],1,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 281, ""chunk_id"": 1, ""score"": 0.6040444374084473}, {""doc_id"": ""os_tutorial"", ""page"": 281, ""chunk_id"": 0, ""score"": 0.5934889316558838}, {""doc_id"": ""os_tutorial"", ""page"": 281, ""chunk_id"": 2, ""score"": 0.5817177891731262}, {""doc_id"": ""os_tutorial"", ""page"": 383, ""chunk_id"": 3, ""score"": 0.5657202005386353}, {""doc_id"": ""os_tutorial"", ""page"": 304, ""chunk_id"": 2, ""score"": 0.5627163648605347}]"
虚拟存储器的基本工作原理是什么？,os_tutorial,[195],0,0,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 193, ""chunk_id"": 0, ""score"": 0.7255502343177795}, {""doc_id"": ""os_tutorial"", ""page"": 194, ""chunk_id"": 0, ""score"": 0.7128658294677734}, {""doc_id"": ""co"", ""page"": 78, ""chunk_id"": 0, ""score"": 0.7093149423599243}, {""doc_id"": ""os_tutorial"", ""page"": 371, ""chunk_id"": 2, ""score"": 0.708959698677063}, {""doc_id"": ""os_tutorial"", ""page"": 195, ""chunk_id"": 1, ""score"": 0.7067309617996216}]"
