question,gold_doc,gold_pages,hit_strict@1,hit_strict@3,hit_strict@5,hit_soft@1,hit_soft@3,hit_soft@5,retrieved_topk
进程的定义是什么？,os_tutorial,[64],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 2, ""score"": 0.8314597606658936}, {""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.7691089510917664}, {""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 2, ""score"": 0.7508708834648132}, {""doc_id"": ""os_tutorial"", ""page"": 287, ""chunk_id"": 2, ""score"": 0.7410310506820679}, {""doc_id"": ""os_tutorial"", ""page"": 72, ""chunk_id"": 0, ""score"": 0.7386854887008667}]"
进程有哪些基本状态？,os_tutorial,[65],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 287, ""chunk_id"": 2, ""score"": 0.8156588673591614}, {""doc_id"": ""os_tutorial"", ""page"": 65, ""chunk_id"": 1, ""score"": 0.7627032399177551}, {""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 2, ""score"": 0.7569659948348999}, {""doc_id"": ""os_tutorial"", ""page"": 66, ""chunk_id"": 0, ""score"": 0.7555938959121704}, {""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.714599072933197}]"
进程控制块 PCB的作用是什么？,os_tutorial,[64],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 84, ""chunk_id"": 2, ""score"": 0.7927654981613159}, {""doc_id"": ""os_tutorial"", ""page"": 69, ""chunk_id"": 0, ""score"": 0.7565026879310608}, {""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 2, ""score"": 0.7510608434677124}, {""doc_id"": ""os_tutorial"", ""page"": 69, ""chunk_id"": 1, ""score"": 0.741283655166626}, {""doc_id"": ""os_tutorial"", ""page"": 69, ""chunk_id"": 2, ""score"": 0.7313443422317505}]"
进程控制包括哪些基本操作？,os_tutorial,[43],0,0,0,0,0,0,"[{""doc_id"": ""os_tutorial"", ""page"": 71, ""chunk_id"": 2, ""score"": 0.8146001100540161}, {""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 2, ""score"": 0.7790586948394775}, {""doc_id"": ""os_tutorial"", ""page"": 57, ""chunk_id"": 0, ""score"": 0.7526569366455078}, {""doc_id"": ""os_tutorial"", ""page"": 62, ""chunk_id"": 0, ""score"": 0.7455404996871948}, {""doc_id"": ""os_tutorial"", ""page"": 66, ""chunk_id"": 0, ""score"": 0.7448951005935669}]"
进程间通信的主要方式有哪些？,os_tutorial,[76],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 43, ""chunk_id"": 2, ""score"": 0.8025538921356201}, {""doc_id"": ""os_tutorial"", ""page"": 76, ""chunk_id"": 0, ""score"": 0.782228410243988}, {""doc_id"": ""os_tutorial"", ""page"": 79, ""chunk_id"": 0, ""score"": 0.7744150757789612}, {""doc_id"": ""os_tutorial"", ""page"": 77, ""chunk_id"": 1, ""score"": 0.7551208734512329}, {""doc_id"": ""os_tutorial"", ""page"": 343, ""chunk_id"": 0, ""score"": 0.7530750036239624}]"
什么是系统调用？,os_tutorial,[55],0,0,0,0,0,0,"[{""doc_id"": ""co"", ""page"": 9, ""chunk_id"": 1, ""score"": 0.7367407083511353}, {""doc_id"": ""os_tutorial"", ""page"": 57, ""chunk_id"": 0, ""score"": 0.6647133827209473}, {""doc_id"": ""os_tutorial"", ""page"": 32, ""chunk_id"": 0, ""score"": 0.6550536155700684}, {""doc_id"": ""os_tutorial"", ""page"": 33, ""chunk_id"": 3, ""score"": 0.6470446586608887}, {""doc_id"": ""os_tutorial"", ""page"": 57, ""chunk_id"": 3, ""score"": 0.6441226005554199}]"
多线程模型有哪些？,os_tutorial,[89],0,0,0,0,0,0,"[{""doc_id"": ""os_tutorial"", ""page"": 92, ""chunk_id"": 3, ""score"": 0.8668698072433472}, {""doc_id"": ""os_tutorial"", ""page"": 333, ""chunk_id"": 1, ""score"": 0.5901365876197815}, {""doc_id"": ""co"", ""page"": 299, ""chunk_id"": 0, ""score"": 0.5568472146987915}, {""doc_id"": ""co"", ""page"": 58, ""chunk_id"": 2, ""score"": 0.5406537055969238}, {""doc_id"": ""os_tutorial"", ""page"": 65, ""chunk_id"": 3, ""score"": 0.5380503535270691}]"
多级页表的基本思想是什么？,os_tutorial,"[179, 180]",0,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 181, ""chunk_id"": 2, ""score"": 0.6541392803192139}, {""doc_id"": ""co"", ""page"": 24, ""chunk_id"": 1, ""score"": 0.6126465797424316}, {""doc_id"": ""os_tutorial"", ""page"": 180, ""chunk_id"": 1, ""score"": 0.5961772799491882}, {""doc_id"": ""os_tutorial"", ""page"": 196, ""chunk_id"": 2, ""score"": 0.5957047939300537}, {""doc_id"": ""os_tutorial"", ""page"": 180, ""chunk_id"": 0, ""score"": 0.5884609818458557}]"
什么是FCB？,os_tutorial,[281],1,1,1,1,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 281, ""chunk_id"": 1, ""score"": 0.5487397313117981}, {""doc_id"": ""os_tutorial"", ""page"": 383, ""chunk_id"": 3, ""score"": 0.45977431535720825}, {""doc_id"": ""co"", ""page"": 355, ""chunk_id"": 0, ""score"": 0.437546968460083}, {""doc_id"": ""os_tutorial"", ""page"": 281, ""chunk_id"": 3, ""score"": 0.4225955307483673}, {""doc_id"": ""os_tutorial"", ""page"": 96, ""chunk_id"": 0, ""score"": 0.41186076402664185}]"
虚拟存储器的基本工作原理是什么？,os_tutorial,[195],0,0,0,0,0,1,"[{""doc_id"": ""os_tutorial"", ""page"": 217, ""chunk_id"": 1, ""score"": 0.8152318000793457}, {""doc_id"": ""os_tutorial"", ""page"": 371, ""chunk_id"": 2, ""score"": 0.7911617159843445}, {""doc_id"": ""os_tutorial"", ""page"": 197, ""chunk_id"": 1, ""score"": 0.7644938826560974}, {""doc_id"": ""os_tutorial"", ""page"": 193, ""chunk_id"": 0, ""score"": 0.7586110234260559}, {""doc_id"": ""os_tutorial"", ""page"": 196, ""chunk_id"": 0, ""score"": 0.746532678604126}]"
